id,type,sub_type,start_date,end_date,listing_type,tom,building_age,total_floor_count,floor_no,room_count,size,address,furnished,heating_type,price,price_currency
6759,Konut,Daire,12/10/18,,2,79,11-15 arası,10-20 arası,Kot 4,2+1,135,İstanbul/Beylikdüzü/Cumhuriyet,,Kalorifer (Doğalgaz),2500,TRY
6760,Konut,Daire,1/11/19,2/10/19,1,30,6-10 arası,5,En Üst Kat,4+2,165,İstanbul/Esenyurt/Zafer,,Kalorifer (Doğalgaz),400000,TRY
6761,Konut,Daire,12/17/18,2/15/19,2,60,5,7,Bahçe katı,2+1,75,İstanbul/Ümraniye/Çakmak,,Kalorifer (Doğalgaz),1050,TRY
6762,Konut,Rezidans,1/3/19,1/3/19,2,0,5,9,,4+1,215,Adana/Çukurova/Huzurevleri,,Kalorifer (Doğalgaz),30000,TRY
6763,Konut,Daire,12/13/18,2/11/19,1,60,0,4,2,3+1,120,İstanbul/Beylikdüzü/Cumhuriyet,,Kalorifer (Doğalgaz),215000,TRY
6764,Konut,Komple Bina,10/18/18,,1,132,40 ve üzeri,6,,+,,İstanbul/Beyoğlu/Hacımimi,,Kalorifer (Doğalgaz),7840000,TRY
6765,Konut,Daire,12/28/18,1/27/19,1,30,6-10 arası,5,5,3+1,113,İzmir/Çiğli/Yeni Mahalle,,Kalorifer (Doğalgaz),230000,TRY
6766,Konut,Villa,12/11/18,,1,78,16-20 arası,2,Komple,3+1,140,Sakarya/Sapanca/Kırkpınar Soğuksu,,Kalorifer (Doğalgaz),590000,TRY
6767,Konut,Daire,2/23/19,,1,4,0,6,3,2+1,95,İstanbul/Esenyurt/Mehterçeşme,,Kalorifer (Doğalgaz),139900,TRY
6768,Konut,Villa,2/25/19,,1,2,6-10 arası,3,,5+3,365,İstanbul/Silivri/Ortaköy,,Kalorifer (Doğalgaz),650000,TRY
6769,Konut,Daire,1/14/19,,2,44,6-10 arası,10,3,3+1,110,İzmir/Buca/Aydoğdu,,Kalorifer (Doğalgaz),1100,TRY
